ID,TRADEDATE,OPEN,HIGH,LOW,CLOSE,VALUE
MICEXBMI,03/10/2016,1404.39,1413.56,1401.39,1409.05,25247636612
MICEXBMI,04/10/2016,1407.7,1410.72,1401.68,1407.75,23532341923
MICEXBMI,05/10/2016,1403.26,1403.26,1391.66,1401.03,26555092933
MICEXBMI,06/10/2016,1399.47,1406.56,1395.53,1406.56,21635960910
MICEXBMI,07/10/2016,1408.76,1413.29,1400.35,1403.86,26951535141
MICEXBMI,10/10/2016,1403.24,1419.67,1402.78,1418.72,27136549878
MICEXBMI,11/10/2016,1416.87,1422.65,1415.18,1419.28,27676396554
MICEXBMI,12/10/2016,1418.54,1421.99,1409.2,1413.62,26011870383
MICEXBMI,13/10/2016,1408.98,1411.15,1397.93,1401.68,25590751019
MICEXBMI,14/10/2016,1402.14,1403,1392.12,1394.68,20130678940
MICEXBMI,17/10/2016,1394.09,1394.41,1387.03,1388.45,23308390797
MICEXBMI,18/10/2016,1393.7,1400.36,1392.33,1397.01,21843280538
MICEXBMI,19/10/2016,1399.76,1399.76,1391.96,1396.12,19272584497
MICEXBMI,20/10/2016,1395.73,1396.58,1388.79,1389.17,20412442125
MICEXBMI,21/10/2016,1389.19,1391.84,1382.11,1389.93,19015144457
MICEXBMI,24/10/2016,1393.57,1399.19,1390.39,1394.65,25318766322
MICEXBMI,25/10/2016,1397.51,1411.51,1394.51,1404.63,29341714008
MICEXBMI,26/10/2016,1403.39,1406.3,1398.04,1403.21,22178712396
MICEXBMI,27/10/2016,1404.91,1411.48,1402.64,1407.07,24597608320
MICEXBMI,28/10/2016,1405.24,1409.25,1404.43,1408.58,18771032813
MICEXBMI,31/10/2016,1408.09,1416.2,1405.2,1414.33,29052511990
MICEXBMI,01/11/2016,1419.95,1424.1,1416.78,1419.75,34532025413
MICEXBMI,02/11/2016,1414.4,1414.98,1398.26,1399.85,38205980959
MICEXBMI,03/11/2016,1399.37,1401.47,1391.84,1395.31,26633656287
MICEXBMI,07/11/2016,1400.89,1400.89,1389.14,1389.14,29881286819
MICEXBMI,08/11/2016,1397.95,1403.41,1396.19,1399.95,25736259954
MICEXBMI,09/11/2016,1382.63,1431.34,1381.91,1431.33,54325005654
MICEXBMI,10/11/2016,1439.38,1476.92,1436.1,1454.47,72801110533
MICEXBMI,11/11/2016,1455.41,1461.61,1446.02,1446.02,47497103239
MICEXBMI,14/11/2016,1453.5,1456.49,1436.49,1440.16,36161162953
MICEXBMI,15/11/2016,1446.9,1446.9,1431.44,1436.69,34537094567
MICEXBMI,16/11/2016,1445.74,1458.79,1440.4,1444.59,33193540414
MICEXBMI,17/11/2016,1445.69,1456.01,1444.89,1454.18,31006493351
MICEXBMI,18/11/2016,1456.48,1457.83,1449.22,1450.61,22911554204
MICEXBMI,21/11/2016,1456.83,1466.07,1456.05,1465.61,26532263677
MICEXBMI,22/11/2016,1467.66,1476.57,1465.07,1470.5,34959987744
MICEXBMI,23/11/2016,1473.94,1483.78,1472.11,1483.78,26727127875
MICEXBMI,24/11/2016,1485.61,1499.43,1484.79,1495.97,32355201591
MICEXBMI,25/11/2016,1494.13,1498.32,1485.97,1492.85,31973670115
MICEXBMI,28/11/2016,1495.65,1496.82,1485.01,1490.75,28258599172
MICEXBMI,29/11/2016,1486.7,1493.08,1482.27,1485.15,35271371486
MICEXBMI,30/11/2016,1487.78,1505.49,1484.48,1497.49,59513679634
MICEXBMI,01/12/2016,1505.2,1514.15,1502.18,1509.34,41616085509
MICEXBMI,02/12/2016,1505.43,1519.87,1504.4,1513.84,34828448179
MICEXBMI,05/12/2016,1513.13,1538,1512.72,1534.51,37027610358
MICEXBMI,06/12/2016,1535.5,1548.2,1529.49,1530.26,39229600880
MICEXBMI,07/12/2016,1534.13,1539.32,1527.67,1536.25,29497280484
MICEXBMI,08/12/2016,1542.85,1569.21,1542.59,1569.21,58048061970
MICEXBMI,09/12/2016,1576.36,1578.04,1562.51,1570.08,47580333908
MICEXBMI,12/12/2016,1582.87,1593.73,1572.49,1584.37,72217214935
MICEXBMI,13/12/2016,1582.94,1598.13,1576.35,1598.13,50512083055
MICEXBMI,14/12/2016,1598.72,1605.69,1576.2,1585.97,45298880805
MICEXBMI,15/12/2016,1577.99,1594.11,1567.75,1592.05,63452336301
MICEXBMI,16/12/2016,1598.45,1601.61,1586.56,1587.8,47655079009
MICEXBMI,19/12/2016,1589.23,1589.68,1576.4,1576.4,27846710365
MICEXBMI,20/12/2016,1574.57,1588.98,1570.53,1583.84,28938818748
MICEXBMI,21/12/2016,1582.97,1591.81,1572.62,1573.74,41357177253
MICEXBMI,22/12/2016,1562.38,1563.74,1545.7,1546.94,38093117244
MICEXBMI,23/12/2016,1547.44,1557.05,1536.54,1546.05,26956193029
MICEXBMI,26/12/2016,1547.28,1555.06,1545.59,1549.35,12560788600
MICEXBMI,27/12/2016,1547.6,1558.41,1547.6,1557.39,15355755835
MICEXBMI,28/12/2016,1560.71,1565.76,1552.99,1552.99,24172787624
MICEXBMI,29/12/2016,1553.19,1572.51,1543.86,1569.66,26576625500
MICEXBMI,30/12/2016,1570.12,1588.33,1569.96,1588.33,25828319438
MICEXBMI,03/01/2017,1589.76,1631.37,1589.62,1625.49,35721591120
MICEXBMI,04/01/2017,1620.19,1621.21,1602.03,1610.42,25348739905
MICEXBMI,05/01/2017,1612.74,1615.23,1575.32,1579.91,27732583188
MICEXBMI,06/01/2017,1580.51,1586.8,1562.66,1575.49,20346737386
MICEXBMI,09/01/2017,1581.22,1585.35,1567.22,1573.75,22905124532
MICEXBMI,10/01/2017,1573.94,1593,1570.22,1592.76,37225533099
MICEXBMI,11/01/2017,1589.33,1594.54,1574.7,1579.9,37632833308
MICEXBMI,12/01/2017,1585.71,1586.43,1571.04,1575.25,39764137149
MICEXBMI,13/01/2017,1576.54,1579.1,1548.26,1563.57,43190738543
MICEXBMI,16/01/2017,1563.26,1568.53,1553.6,1559.36,24696916484
MICEXBMI,17/01/2017,1561.86,1563.8,1544.64,1552.05,28670458117
MICEXBMI,18/01/2017,1553.51,1560.02,1542.85,1546.26,31394690715
MICEXBMI,19/01/2017,1550.51,1551.92,1533.25,1540.69,37920972838
MICEXBMI,20/01/2017,1539.93,1542.98,1530.09,1538.97,32069498308
MICEXBMI,23/01/2017,1537.35,1538.26,1522.39,1529.3,26673453177
MICEXBMI,24/01/2017,1533.35,1549.64,1533.24,1549.64,34634117281
MICEXBMI,25/01/2017,1548.88,1552.52,1541.96,1550.56,32249806617
MICEXBMI,26/01/2017,1555.81,1588.82,1554.53,1587.84,44506438316
MICEXBMI,27/01/2017,1585.63,1613.84,1581.38,1613.84,50623608776
MICEXBMI,30/01/2017,1606.3,1608.04,1589.83,1591.52,31598046560
MICEXBMI,31/01/2017,1590.91,1595.81,1578.61,1579.9,34181419088
MICEXBMI,01/02/2017,1582.47,1589.69,1577.5,1589.69,29588182174
MICEXBMI,02/02/2017,1589.45,1593.24,1574.81,1579.9,32901099350
MICEXBMI,03/02/2017,1581.67,1587,1576.92,1586.25,31435308819
MICEXBMI,06/02/2017,1586.33,1589.25,1569.25,1575.06,28948955378
MICEXBMI,07/02/2017,1574.77,1580.95,1568.46,1580.95,25165598318
