<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>,<VOL>
MOEX,D,20170405,000000,116.1500000,10880380
MOEX,D,20170406,000000,114.9900000,4989870
MOEX,D,20170407,000000,111.7500000,10746460
MOEX,D,20170410,000000,107.5500000,20197470
MOEX,D,20170411,000000,107.5500000,8636290
MOEX,D,20170412,000000,104.9000000,9194990
MOEX,D,20170413,000000,105.9000000,9315020
MOEX,D,20170414,000000,104.3500000,3516750
MOEX,D,20170417,000000,107.6700000,8290930
MOEX,D,20170418,000000,105.5000000,8342180
MOEX,D,20170419,000000,106.5000000,7322370
MOEX,D,20170420,000000,109.2000000,14015270
MOEX,D,20170421,000000,111.4000000,9886570
MOEX,D,20170424,000000,112.3600000,10974300
MOEX,D,20170425,000000,114.6200000,10188420
MOEX,D,20170426,000000,115.0000000,11881360
MOEX,D,20170427,000000,115.7900000,7283860
MOEX,D,20170428,000000,115.0500000,7186320
MOEX,D,20170502,000000,117.3000000,8658420
MOEX,D,20170503,000000,118.2000000,8501520
MOEX,D,20170504,000000,114.7400000,10965410
MOEX,D,20170505,000000,116.3000000,8618020
MOEX,D,20170510,000000,116.7300000,8796690
MOEX,D,20170511,000000,115.4500000,5941690
MOEX,D,20170512,000000,115.3500000,9675810
MOEX,D,20170515,000000,108.9000000,7816650
MOEX,D,20170516,000000,105.3400000,9946600
MOEX,D,20170517,000000,107.0500000,7457870
MOEX,D,20170518,000000,105.7500000,8266890
MOEX,D,20170519,000000,102.5000000,9337010
MOEX,D,20170522,000000,101.4500000,8304960
MOEX,D,20170523,000000,103.4300000,6607550
MOEX,D,20170524,000000,102.5000000,6182180
MOEX,D,20170525,000000,99.8000000,11172850
MOEX,D,20170526,000000,97.5800000,10060110
MOEX,D,20170529,000000,100.7000000,9932950
MOEX,D,20170530,000000,100.3800000,6591350
MOEX,D,20170531,000000,101.0000000,14242100
MOEX,D,20170601,000000,100.8000000,10059900
MOEX,D,20170602,000000,101.9000000,7301200
MOEX,D,20170605,000000,103.1400000,6834610
MOEX,D,20170606,000000,101.9500000,5652140
MOEX,D,20170607,000000,103.8900000,14689230
MOEX,D,20170608,000000,104.0000000,15682170
MOEX,D,20170609,000000,106.1500000,8403590
MOEX,D,20170613,000000,107.0900000,10511470
MOEX,D,20170614,000000,107.5000000,12788880
MOEX,D,20170615,000000,102.7300000,23385390
MOEX,D,20170616,000000,103.8700000,6204310
