<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>,<VOL>
MTLR,D,20170105,000000,181.2600000,443533
MTLR,D,20170106,000000,181.2000000,419946
MTLR,D,20170109,000000,179.7000000,320658
MTLR,D,20170110,000000,185.6200000,1145501
MTLR,D,20170111,000000,196.5300000,4351962
MTLR,D,20170112,000000,193.3000000,1491623
MTLR,D,20170113,000000,192.0000000,861514
MTLR,D,20170116,000000,193.6000000,434249
MTLR,D,20170117,000000,189.0000000,510674
MTLR,D,20170118,000000,187.0800000,465860
MTLR,D,20170119,000000,191.0000000,594325
MTLR,D,20170120,000000,190.0100000,615767
MTLR,D,20170123,000000,188.0200000,300221
MTLR,D,20170124,000000,190.7300000,1030485
MTLR,D,20170125,000000,189.9800000,820461
MTLR,D,20170126,000000,190.0000000,989777
MTLR,D,20170127,000000,190.0100000,1015516
MTLR,D,20170130,000000,188.0000000,618356
MTLR,D,20170131,000000,186.0100000,501599
MTLR,D,20170201,000000,184.6500000,519681
MTLR,D,20170202,000000,187.0000000,1134490
MTLR,D,20170203,000000,185.3300000,593459
MTLR,D,20170206,000000,185.3400000,571651
MTLR,D,20170207,000000,183.1000000,536547
MTLR,D,20170208,000000,181.5500000,558629
MTLR,D,20170209,000000,179.4800000,454965
MTLR,D,20170210,000000,177.6000000,306569
MTLR,D,20170213,000000,172.8000000,755394
MTLR,D,20170214,000000,166.9200000,1506649
MTLR,D,20170215,000000,165.5200000,1595374
MTLR,D,20170216,000000,175.4000000,2558957
MTLR,D,20170217,000000,176.0600000,2671696
MTLR,D,20170220,000000,171.7800000,858516
MTLR,D,20170221,000000,169.5300000,603816
MTLR,D,20170222,000000,166.4000000,933774
MTLR,D,20170224,000000,160.8000000,947626
MTLR,D,20170227,000000,151.4900000,1570390
MTLR,D,20170228,000000,146.8000000,3516347
MTLR,D,20170301,000000,154.0000000,1687382
MTLR,D,20170302,000000,152.0000000,1535333
MTLR,D,20170303,000000,151.7600000,1003591
MTLR,D,20170306,000000,150.4200000,656467
MTLR,D,20170307,000000,145.8100000,870026
MTLR,D,20170309,000000,134.4700000,1963104
MTLR,D,20170310,000000,133.0000000,2418996
MTLR,D,20170313,000000,143.0000000,2181632
MTLR,D,20170314,000000,139.2500000,1831040
MTLR,D,20170315,000000,140.0200000,1162370
MTLR,D,20170316,000000,142.0800000,954907
MTLR,D,20170317,000000,147.5100000,2860893
MTLR,D,20170320,000000,149.2000000,1466914
MTLR,D,20170321,000000,144.6000000,1165879
MTLR,D,20170322,000000,144.1700000,1687922
MTLR,D,20170323,000000,143.6500000,895399
MTLR,D,20170324,000000,143.0900000,388590
MTLR,D,20170327,000000,140.3600000,851077
MTLR,D,20170328,000000,148.5200000,1849644
MTLR,D,20170329,000000,161.1300000,2593477
MTLR,D,20170330,000000,157.5200000,1990654
MTLR,D,20170331,000000,151.6200000,1067084
MTLR,D,20170403,000000,156.1200000,1969110
MTLR,D,20170404,000000,157.2600000,1059465
MTLR,D,20170405,000000,163.0000000,2996787
MTLR,D,20170406,000000,168.8600000,2129805
MTLR,D,20170407,000000,166.4100000,2111435
MTLR,D,20170410,000000,157.9900000,2211422
MTLR,D,20170411,000000,159.6600000,2099664
MTLR,D,20170412,000000,155.7400000,1382563
MTLR,D,20170413,000000,159.9300000,1643529
MTLR,D,20170414,000000,155.3400000,499227
MTLR,D,20170417,000000,157.7300000,771016
MTLR,D,20170418,000000,153.1900000,570836
MTLR,D,20170419,000000,148.2200000,907224
MTLR,D,20170420,000000,148.7500000,1749891
MTLR,D,20170421,000000,148.7400000,814436
MTLR,D,20170424,000000,152.1400000,663675
MTLR,D,20170425,000000,150.5000000,616120
MTLR,D,20170426,000000,151.4900000,1462538
MTLR,D,20170427,000000,167.1000000,5552096
MTLR,D,20170428,000000,177.7700000,4978625
MTLR,D,20170502,000000,170.0500000,1277928
MTLR,D,20170503,000000,174.2000000,2517148
MTLR,D,20170504,000000,168.1500000,857070
MTLR,D,20170505,000000,164.1500000,555047
MTLR,D,20170510,000000,164.6000000,826012
MTLR,D,20170511,000000,159.6500000,635812
MTLR,D,20170512,000000,161.3000000,404770
MTLR,D,20170515,000000,158.5000000,324994
MTLR,D,20170516,000000,155.6000000,429914
MTLR,D,20170517,000000,153.9500000,419968
MTLR,D,20170518,000000,148.1500000,603512
MTLR,D,20170519,000000,148.6500000,327615
MTLR,D,20170522,000000,146.6000000,301714
MTLR,D,20170523,000000,157.0000000,761714
MTLR,D,20170524,000000,151.9500000,677796
MTLR,D,20170525,000000,151.8500000,428202
MTLR,D,20170526,000000,147.9000000,326719
MTLR,D,20170529,000000,150.3500000,159431
MTLR,D,20170530,000000,146.3500000,347785
MTLR,D,20170531,000000,155.3500000,3373828
MTLR,D,20170601,000000,149.6000000,1069459
MTLR,D,20170602,000000,147.4000000,621098
MTLR,D,20170605,000000,148.0000000,574601
MTLR,D,20170606,000000,148.6000000,178001
MTLR,D,20170607,000000,146.6000000,196629
MTLR,D,20170608,000000,138.7500000,1604719
MTLR,D,20170609,000000,139.9000000,582539
MTLR,D,20170613,000000,137.3500000,450412
MTLR,D,20170614,000000,130.3000000,732240
MTLR,D,20170615,000000,128.5000000,1572511
MTLR,D,20170616,000000,121.3000000,1118035
